slug,open_epoch,close_epoch,btc_open,btc_close,winner,entry_made,entry_elapsed_sec,entry_side,entry_price,entry_shares,entry_prob_up,entry_confidence,correct,pnl,recorded_at
btc-updown-5m-1776156900,1776156900,1776157200,74734.84,74778.72,up,false,,,,,,,,0,2026-04-14 08:55:00.329647+00
btc-updown-5m-1776157200,1776157200,1776157500,74778.72,74726.47,down,false,,,,,,,,0,2026-04-14 09:00:00.320183+00
btc-updown-5m-1776157500,1776157500,1776157800,74730.86,74775.07,up,true,203.749564409256,up,0.86,10,0.940850257873535,0.940850257873535,true,1.4,2026-04-14 09:05:00.355799+00
btc-updown-5m-1776157800,1776157800,1776158100,74771.91,74824.56,up,false,,,,,,,,0,2026-04-14 09:10:00.281034+00
btc-updown-5m-1776158100,1776158100,1776158400,74824.42,74814.53,down,false,,,,,,,,0,2026-04-14 09:15:00.34082+00
btc-updown-5m-1776158400,1776158400,1776158700,74814.53,74706.38,down,true,134.131398439407,down,0.9,10,0.0898876413702965,0.910112358629704,true,1,2026-04-14 09:20:00.324462+00
btc-updown-5m-1776158700,1776158700,1776159000,74710.5,74698.58,down,true,178.383816719055,down,0.86,10,0.0898876413702965,0.910112358629704,true,1.4,2026-04-14 09:25:00.351861+00
btc-updown-5m-1776159000,1776159000,1776159300,74698.58,74680.26,down,false,,,,,,,,0,2026-04-14 09:30:00.303016+00
btc-updown-5m-1776159300,1776159300,1776159600,74680.35,74711.08,up,true,217.085699319839,down,0.9,10,0.0898876413702965,0.910112358629704,false,-9,2026-04-14 09:35:00.31369+00
btc-updown-5m-1776159600,1776159600,1776159900,74708.43,74535.97,down,true,121.321465492249,down,0.93,10,0.0496894419193268,0.950310558080673,true,0.7,2026-04-14 09:40:00.320351+00
btc-updown-5m-1776159900,1776159900,1776160200,74537.21,74481.6,down,true,193.658472299576,down,0.91,10,0.0898876413702965,0.910112358629704,true,0.9,2026-04-14 09:45:00.366257+00
btc-updown-5m-1776160200,1776160200,1776160500,74471.1,74480.46,up,false,,,,,,,,0,2026-04-14 09:50:00.325001+00
btc-updown-5m-1776160500,1776160500,1776160800,74480.46,74525.98,up,true,113.167990922928,up,0.86,10,0.940850257873535,0.940850257873535,true,1.4,2026-04-14 09:55:00.333311+00
btc-updown-5m-1776160800,1776160800,1776161100,74525.98,74487.3,down,true,231.906811475754,down,0.87,10,0.0599999986588955,0.940000001341105,true,1.3,2026-04-14 10:00:00.303156+00
btc-updown-5m-1776161100,1776161100,1776161400,74489.4,74530.66,up,true,132.502725362778,up,0.91,10,0.940850257873535,0.940850257873535,true,0.9,2026-04-14 10:05:00.392732+00
btc-updown-5m-1776161400,1776161400,1776161700,74530.66,74570.63,up,false,,,,,,,,0,2026-04-14 10:10:00.334246+00
btc-updown-5m-1776161700,1776161700,1776162000,74570.63,74546.89,down,true,182.601751565933,down,0.85,10,0.0898876413702965,0.910112358629704,true,1.5,2026-04-14 10:15:00.407147+00
btc-updown-5m-1776162000,1776162000,1776162300,74561.02,74590.19,up,true,177.203992128372,up,0.91,10,0.940850257873535,0.940850257873535,true,0.9,2026-04-14 10:20:00.304418+00
btc-updown-5m-1776162300,1776162300,1776162600,74597.49,74583.1,down,false,,,,,,,,0,2026-04-14 10:25:00.338928+00
btc-updown-5m-1776162600,1776162600,1776162900,74583.1,74612.12,up,true,76.4580805301666,up,0.87,10,0.940850257873535,0.940850257873535,true,1.3,2026-04-14 10:30:00.324236+00
btc-updown-5m-1776162900,1776162900,1776163200,74604.59,74422.5,down,true,214.699392557144,down,0.91,10,0.0898876413702965,0.910112358629704,true,0.9,2026-04-14 10:35:00.424064+00
btc-updown-5m-1776163200,1776163200,1776163500,74422.14,74364.96,down,false,,,,,,,,0,2026-04-14 10:40:00.310996+00
btc-updown-5m-1776163500,1776163500,1776163800,74384.37,74416.33,up,false,,,,,,,,0,2026-04-14 10:45:00.338991+00
btc-updown-5m-1776163800,1776163800,1776164100,74416.33,74386.13,down,false,,,,,,,,0,2026-04-14 10:50:00.309478+00
btc-updown-5m-1776164100,1776164100,1776164400,74384.87,74368.77,down,true,60.0957236289978,up,0.87,10,0.93478262424469,0.93478262424469,false,-8.7,2026-04-14 10:55:00.323459+00
btc-updown-5m-1776164400,1776164400,1776164700,74368.77,74405.75,up,true,195.77752661705,up,0.9,10,0.940850257873535,0.940850257873535,true,1,2026-04-14 11:00:00.305594+00
btc-updown-5m-1776164700,1776164700,1776165000,74423.64,74450.88,up,false,,,,,,,,0,2026-04-14 11:05:00.326661+00
btc-updown-5m-1776165000,1776165000,1776165300,74445.74,74418.85,down,false,,,,,,,,0,2026-04-14 11:10:00.304305+00
btc-updown-5m-1776165300,1776165300,1776165600,74418.22,74449.36,up,false,,,,,,,,0,2026-04-14 11:15:00.31906+00
btc-updown-5m-1776165600,1776165600,1776165900,74448.22,74425.98,down,true,189.657510519028,down,0.9,10,0.0599999986588955,0.940000001341105,true,1,2026-04-14 11:20:00.319829+00
btc-updown-5m-1776165900,1776165900,1776166200,74416.55,74379.58,down,true,88.861044883728,up,0.85,10,0.940850257873535,0.940850257873535,false,-8.5,2026-04-14 11:25:00.401855+00
btc-updown-5m-1776166200,1776166200,1776166500,74379.58,74360.75,down,false,,,,,,,,0,2026-04-14 11:30:00.471559+00
btc-updown-5m-1776166500,1776166500,1776166800,74374.45,74406.06,up,true,187.626034259796,up,0.89,10,0.933333337306976,0.933333337306976,true,1.1,2026-04-14 11:35:00.306054+00
btc-updown-5m-1776166800,1776166800,1776167100,74408.79,74343.32,down,true,233.140858650208,down,0.9,10,0.0898876413702965,0.910112358629704,true,1,2026-04-14 11:40:00.309581+00
btc-updown-5m-1776167100,1776167100,1776167400,74343.4,74446.34,up,true,233.884417533875,up,0.96,10,0.940850257873535,0.940850257873535,true,0.4,2026-04-14 11:45:00.341569+00
btc-updown-5m-1776167400,1776167400,1776167700,74444.07,74384.47,down,true,132.006791591644,down,0.9,10,0.0898876413702965,0.910112358629704,true,1,2026-04-14 11:50:00.356662+00
btc-updown-5m-1776167700,1776167700,1776168000,74389.1,74405.8,up,true,226.9476583004,up,0.91,10,0.933333337306976,0.933333337306976,true,0.9,2026-04-14 11:55:00.317659+00
btc-updown-5m-1776168000,1776168000,1776168300,74399.34,74444.51,up,true,213.293898582458,up,0.88,10,0.940850257873535,0.940850257873535,true,1.2,2026-04-14 12:00:00.456884+00
btc-updown-5m-1776168300,1776168300,1776168600,74448.44,74433,down,false,,,,,,,,0,2026-04-14 12:05:00.354348+00
btc-updown-5m-1776168600,1776168600,1776168900,74433,74321.08,down,true,141.8002846241,down,0.93,10,0.0496894419193268,0.950310558080673,true,0.7,2026-04-14 12:10:00.375282+00
btc-updown-5m-1776168900,1776168900,1776169200,74321.01,74365.93,up,false,,,,,,,,0,2026-04-14 12:15:00.410106+00
btc-updown-5m-1776169200,1776169200,1776169500,74395.77,74314.3,down,true,94.1710162162781,down,0.89,10,0.0898876413702965,0.910112358629704,true,1.1,2026-04-14 12:20:00.235656+00
btc-updown-5m-1776169500,1776169500,1776169800,74322.43,74377.06,up,false,,,,,,,,0,2026-04-14 12:25:00.364786+00
btc-updown-5m-1776169800,1776169800,1776170100,74325.16,74373.41,up,true,180.28914141655,up,0.84,10,0.940850257873535,0.940850257873535,true,1.6,2026-04-14 12:30:00.325197+00
btc-updown-5m-1776170100,1776170100,1776170400,74371.95,74368.57,down,false,,,,,,,,0,2026-04-14 12:35:00.345749+00
btc-updown-5m-1776170400,1776170400,1776170700,74367.41,74344.12,down,false,,,,,,,,0,2026-04-14 12:40:00.328184+00
btc-updown-5m-1776170700,1776170700,1776171000,74349.78,74408.36,up,false,,,,,,,,0,2026-04-14 12:45:00.334477+00
btc-updown-5m-1776171000,1776171000,1776171300,74399.87,74419.56,up,false,,,,,,,,0,2026-04-14 12:50:00.355455+00
btc-updown-5m-1776171300,1776171300,1776171600,74418.63,74441.58,up,true,132.366838693619,up,0.87,10,0.940850257873535,0.940850257873535,true,1.3,2026-04-14 12:55:00.320913+00
btc-updown-5m-1776171600,1776171600,1776171900,74475.05,74627.78,up,true,126.717414140701,up,0.88,10,0.940850257873535,0.940850257873535,true,1.2,2026-04-14 13:00:00.363103+00
btc-updown-5m-1776171900,1776171900,1776172200,74620.86,74592.45,down,true,188.496930360794,down,0.88,10,0.0898876413702965,0.910112358629704,true,1.2,2026-04-14 13:05:00.349753+00
