slug,winner,entered,side,price,t,predicted_ev,pnl_per_share,correct,threshold
btc-updown-5m-1776064200,Down,True,Up,0.59,30.0,0.01613703928887844,-0.59,False,0.000
btc-updown-5m-1776064500,Down,True,Down,0.51,30.0,0.027225472033023834,0.49,True,0.000
btc-updown-5m-1776064800,Down,True,Up,0.18,30.0,0.04077336937189102,-0.18,False,0.000
btc-updown-5m-1776065100,Up,True,Down,0.38,32.0,0.000946984626352787,-0.38,False,0.000
btc-updown-5m-1776065400,Down,True,Up,0.7,30.0,0.021892124786973,-0.7,False,0.000
btc-updown-5m-1776065700,Up,True,Up,0.38,30.0,0.01660960353910923,0.62,True,0.000
btc-updown-5m-1776066000,Down,True,Up,0.46,30.0,0.039317429065704346,-0.46,False,0.000
btc-updown-5m-1776066300,Up,True,Up,0.6,30.0,0.017987482249736786,0.4,True,0.000
btc-updown-5m-1776066600,Down,True,Down,0.43,30.0,0.015922755002975464,0.5700000000000001,True,0.000
btc-updown-5m-1776066900,Up,True,Down,0.47,30.0,0.012042640708386898,-0.47,False,0.000
btc-updown-5m-1776067200,Up,True,Up,0.37,30.0,0.008532630279660225,0.63,True,0.000
btc-updown-5m-1776067500,Down,True,Up,0.47,31.0,0.02091297134757042,-0.47,False,0.000
btc-updown-5m-1776067800,Down,True,Down,0.51,30.0,0.003610075218603015,0.49,True,0.000
btc-updown-5m-1776068100,Down,True,Up,0.51,30.0,0.006098552141338587,-0.51,False,0.000
btc-updown-5m-1776068400,Up,True,Up,0.57,30.0,0.004877040162682533,0.43000000000000005,True,0.000
btc-updown-5m-1776068700,Up,True,Up,0.78,30.0,0.041525259613990784,0.21999999999999997,True,0.000
btc-updown-5m-1776069000,Down,True,Up,0.27,30.0,0.039198994636535645,-0.27,False,0.000
btc-updown-5m-1776069300,Down,True,Down,0.47,30.0,0.013395072892308235,0.53,True,0.000
btc-updown-5m-1776069600,Down,True,Down,0.37,35.0,0.009330438449978828,0.63,True,0.000
btc-updown-5m-1776069900,Up,True,Down,0.45,30.0,0.01312505267560482,-0.45,False,0.000
btc-updown-5m-1776070200,Up,True,Down,0.53,30.0,0.005368052050471306,-0.53,False,0.000
btc-updown-5m-1776070500,Up,True,Up,0.67,30.0,0.020928939804434776,0.32999999999999996,True,0.000
btc-updown-5m-1776070800,Up,True,Up,0.84,30.0,0.04085725545883179,0.16000000000000003,True,0.000
btc-updown-5m-1776071100,Down,True,Up,0.71,30.0,0.009245599620044231,-0.71,False,0.000
btc-updown-5m-1776071400,Up,True,Up,0.71,30.0,0.009245599620044231,0.29000000000000004,True,0.000
btc-updown-5m-1776071700,Down,True,Up,0.5,31.0,0.008780412375926971,-0.5,False,0.000
btc-updown-5m-1776072000,Up,True,Up,0.74,30.0,0.013345188461244106,0.26,True,0.000
btc-updown-5m-1776072300,Up,True,Down,0.51,30.0,0.0048681520856916904,-0.51,False,0.000
btc-updown-5m-1776072600,Up,True,Down,0.45,30.0,0.03287503495812416,-0.45,False,0.000
btc-updown-5m-1776072900,Down,True,Up,0.52,30.0,0.01218695379793644,-0.52,False,0.000
btc-updown-5m-1776073200,Down,True,Up,0.37,30.0,0.02852637507021427,-0.37,False,0.000
btc-updown-5m-1776073500,Down,True,Down,0.57,30.0,0.006502216681838036,0.43000000000000005,True,0.000
btc-updown-5m-1776073800,Down,True,Up,0.29,30.0,0.0295580867677927,-0.29,False,0.000
btc-updown-5m-1776074100,Up,True,Down,0.35,30.0,0.005041647702455521,-0.35,False,0.000
btc-updown-5m-1776074400,Down,True,Up,0.44,30.0,0.0036449923645704985,-0.44,False,0.000
btc-updown-5m-1776074700,Up,True,Down,0.31,30.0,0.0019719451665878296,-0.31,False,0.000
btc-updown-5m-1776075000,Up,True,Up,0.49,30.0,0.008272331207990646,0.51,True,0.000
btc-updown-5m-1776075300,Down,True,Up,0.12,30.0,1.2178774341009557e-05,-0.12,False,0.000
btc-updown-5m-1776075600,Down,True,Down,0.53,30.0,0.013607637956738472,0.47,True,0.000
btc-updown-5m-1776075900,Up,True,Down,0.44,30.0,0.011887219734489918,-0.44,False,0.000
btc-updown-5m-1776076200,Down,True,Up,0.68,30.0,0.013149666599929333,-0.68,False,0.000
btc-updown-5m-1776076500,Up,True,Up,0.25,30.0,0.01660960353910923,0.75,True,0.000
btc-updown-5m-1776076800,Down,True,Up,0.43,30.0,0.03167258948087692,-0.43,False,0.000
btc-updown-5m-1776077100,Down,True,Up,0.3,30.0,0.01660960353910923,-0.3,False,0.000
btc-updown-5m-1776077400,Down,True,Down,0.49,30.0,0.011730259284377098,0.51,True,0.000
btc-updown-5m-1776077700,Up,True,Up,0.7,30.0,0.009245599620044231,0.30000000000000004,True,0.000
btc-updown-5m-1776078000,Up,True,Up,0.65,30.0,0.032720837742090225,0.35,True,0.000
btc-updown-5m-1776078300,Up,True,Up,0.42,32.0,0.029508177191019058,0.5800000000000001,True,0.000
btc-updown-5m-1776078600,Up,True,Up,0.61,30.0,0.005358368158340454,0.39,True,0.000
btc-updown-5m-1776078900,Down,True,Down,0.41,30.0,0.0019719451665878296,0.5900000000000001,True,0.000
btc-updown-5m-1776079200,Down,True,Down,0.4,30.0,0.0019719451665878296,0.6,True,0.000
btc-updown-5m-1776079800,Down,True,Up,0.71,30.0,0.009245599620044231,-0.71,False,0.000
btc-updown-5m-1776080100,Up,True,Down,0.42,30.0,0.08141103386878967,-0.42,False,0.000
btc-updown-5m-1776080400,Up,True,Up,0.68,30.0,0.005358368158340454,0.31999999999999995,True,0.000
btc-updown-5m-1776080700,Down,True,Up,0.71,30.0,0.009245599620044231,-0.71,False,0.000
btc-updown-5m-1776081000,Up,True,Up,0.57,30.0,0.009245599620044231,0.43000000000000005,True,0.000
btc-updown-5m-1776081300,Down,True,Up,0.48,30.0,0.015756167471408844,-0.48,False,0.000
btc-updown-5m-1776081600,Down,True,Up,0.24,37.0,0.027703195810317993,-0.24,False,0.000
btc-updown-5m-1776081900,Up,True,Up,0.67,30.0,0.02852918766438961,0.32999999999999996,True,0.000
btc-updown-5m-1776082200,Down,True,Down,0.51,30.0,0.0178707055747509,0.49,True,0.000
btc-updown-5m-1776082500,Down,True,Up,0.48,30.0,0.017606612294912338,-0.48,False,0.000
btc-updown-5m-1776082800,Down,True,Up,0.47,30.0,0.0292087160050869,-0.47,False,0.000
btc-updown-5m-1776083100,Down,True,Up,0.5,32.0,0.00909249484539032,-0.5,False,0.000
btc-updown-5m-1776083400,Up,True,Up,0.6,30.0,0.017987482249736786,0.4,True,0.000
btc-updown-5m-1776083700,Down,True,Up,0.33,30.0,0.01115158200263977,-0.33,False,0.000
btc-updown-5m-1776084000,Up,True,Up,0.58,30.0,0.029711009934544563,0.42000000000000004,True,0.000
btc-updown-5m-1776084300,Up,True,Up,0.66,30.0,0.02852918766438961,0.33999999999999997,True,0.000
btc-updown-5m-1776084600,Up,True,Down,0.47,30.0,0.015922755002975464,-0.47,False,0.000
btc-updown-5m-1776084900,Down,True,Up,0.5,30.0,0.017269987612962723,-0.5,False,0.000
btc-updown-5m-1776085200,Up,True,Up,0.67,30.0,0.01864960975944996,0.32999999999999996,True,0.000
btc-updown-5m-1776085500,Down,True,Down,0.59,31.0,0.0037093183491379023,0.41000000000000003,True,0.000
btc-updown-5m-1776085800,Up,True,Up,0.58,30.0,0.009245599620044231,0.42000000000000004,True,0.000
btc-updown-5m-1776086100,Down,True,Up,0.34,30.0,0.015152668580412865,-0.34,False,0.000
btc-updown-5m-1776086400,Up,True,Up,0.24,30.0,0.01660960353910923,0.76,True,0.000
btc-updown-5m-1776086700,Down,True,Down,0.6,30.0,0.00845776405185461,0.4,True,0.000
btc-updown-5m-1776087000,Down,True,Up,0.53,30.0,0.011830819770693779,-0.53,False,0.000
btc-updown-5m-1776087300,Down,True,Up,0.45,30.0,0.027703195810317993,-0.45,False,0.000
btc-updown-5m-1776087600,Up,True,Up,0.84,30.0,0.04297841712832451,0.16000000000000003,True,0.000
btc-updown-5m-1776087900,Up,True,Up,0.43,30.0,0.010677585378289223,0.5700000000000001,True,0.000
btc-updown-5m-1776088200,Down,True,Up,0.44,30.0,0.01740664802491665,-0.44,False,0.000
btc-updown-5m-1776088500,Up,True,Up,0.41,30.0,0.01660960353910923,0.5900000000000001,True,0.000
btc-updown-5m-1776088800,Down,True,Up,0.51,30.0,0.0266148429363966,-0.51,False,0.000
btc-updown-5m-1776089100,Down,True,Up,0.66,30.0,0.03530081734061241,-0.66,False,0.000
btc-updown-5m-1776089400,Up,True,Up,0.57,30.0,0.027538785710930824,0.43000000000000005,True,0.000
btc-updown-5m-1776089700,Down,True,Up,0.6,30.0,0.009245599620044231,-0.6,False,0.000
btc-updown-5m-1776090000,Up,True,Up,0.62,30.0,0.02852918766438961,0.38,True,0.000
btc-updown-5m-1776090300,Up,True,Up,0.34,35.0,0.0013564766850322485,0.6599999999999999,True,0.000
btc-updown-5m-1776090600,Up,True,Up,0.63,30.0,0.02852918766438961,0.37,True,0.000
btc-updown-5m-1776090900,Up,True,Up,0.5,30.0,0.04497532919049263,0.5,True,0.000
btc-updown-5m-1776091200,Up,True,Up,0.41,30.0,0.025937482714653015,0.5900000000000001,True,0.000
btc-updown-5m-1776091500,Down,True,Up,0.53,30.0,0.03697862848639488,-0.53,False,0.000
btc-updown-5m-1776091800,Up,True,Up,0.41,30.0,0.06939251720905304,0.5900000000000001,True,0.000
btc-updown-5m-1776092100,Up,True,Up,0.39,31.0,0.0074485233053565025,0.61,True,0.000
btc-updown-5m-1776092400,Down,True,Up,0.45,30.0,0.06789873540401459,-0.45,False,0.000
btc-updown-5m-1776092700,Down,True,Up,0.73,30.0,0.04085725545883179,-0.73,False,0.000
btc-updown-5m-1776093000,Down,True,Up,0.4,30.0,0.015217918902635574,-0.4,False,0.000
btc-updown-5m-1776093300,Down,True,Up,0.51,30.0,0.019678711891174316,-0.51,False,0.000
btc-updown-5m-1776093600,Up,True,Up,0.73,30.0,0.04085725545883179,0.27,True,0.000
btc-updown-5m-1776093900,Up,True,Up,0.53,31.0,0.0086464062333107,0.47,True,0.000
btc-updown-5m-1776094200,Down,True,Up,0.27,30.0,0.008532630279660225,-0.27,False,0.000
