timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price
1775853600.514,0.514,0.48,0.51,0.5,0.51,0.03,0.01,73097.96
1775853600.907,0.907,0.51,0.52,0.48,0.51,0.01,0.03,73097.96
1775853601.325,1.325,0.51,0.52,0.48,0.49,0.01,0.01,73097.96
1775853601.71,1.71,0.51,0.52,0.48,0.49,0.01,0.01,73101.78
1775853602.141,2.141,0.51,0.52,0.48,0.49,0.01,0.01,73101.78
1775853602.558,2.558,0.51,0.52,0.48,0.49,0.01,0.01,73103.12
1775853603.004,3.004,0.53,0.54,0.46,0.47,0.01,0.01,73103.12
1775853603.361,3.361,0.48,0.49,0.5,0.51,0.01,0.01,73103.12
1775853603.701,3.701,0.47,0.48,0.52,0.53,0.01,0.01,73106.85
1775853604.118,4.118,0.52,0.53,0.47,0.48,0.01,0.01,73107.3
1775853604.548,4.548,0.52,0.53,0.47,0.48,0.01,0.01,73107.3
1775853604.917,4.917,0.52,0.53,0.47,0.48,0.01,0.01,73107.3
1775853605.251,5.251,0.52,0.53,0.47,0.48,0.01,0.01,73107.3
1775853605.635,5.635,0.52,0.53,0.47,0.48,0.01,0.01,73105.93
1775853606.042,6.042,0.52,0.53,0.47,0.48,0.01,0.01,73105.93
1775853606.387,6.387,0.52,0.53,0.47,0.48,0.01,0.01,73105.93
1775853606.721,6.721,0.52,0.53,0.47,0.48,0.01,0.01,73105.93
1775853607.107,7.107,0.48,0.49,0.51,0.52,0.01,0.01,73102.42
1775853607.441,7.441,0.48,0.49,0.51,0.52,0.01,0.01,73102.42
1775853607.865,7.865,0.48,0.49,0.51,0.52,0.01,0.01,73101.88
1775853608.494,8.494,0.48,0.49,0.51,0.52,0.01,0.01,73101.88
1775853608.882,8.882,0.48,0.49,0.51,0.52,0.01,0.01,73101.75
1775853609.31,9.31,0.48,0.49,0.51,0.52,0.01,0.01,73101.75
1775853609.701,9.701,0.48,0.49,0.51,0.52,0.01,0.01,73100.36
1775853610.173,10.173,0.48,0.49,0.51,0.52,0.01,0.01,73100.36
1775853610.588,10.588,0.48,0.49,0.51,0.52,0.01,0.01,73100.36
1775853610.934,10.934,0.48,0.49,0.51,0.52,0.01,0.01,73098.63
1775853611.294,11.294,0.48,0.49,0.51,0.52,0.01,0.01,73098.63
1775853611.871,11.871,0.48,0.49,0.51,0.52,0.01,0.01,73098.2
1775853612.74,12.74,0.48,0.49,0.51,0.52,0.01,0.01,73097.6
1775853613.248,13.248,0.48,0.49,0.51,0.52,0.01,0.01,73097.6
1775853613.891,13.891,0.48,0.49,0.51,0.52,0.01,0.01,73097.59
