timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price,btc_oracle_ts
1776540900.823,0.823,0.51,0.52,0.48,0.49,0.01,0.01,75638.15,1776540899000
1776540901.165,1.165,0.51,0.52,0.48,0.49,0.01,0.01,75637.9,1776540900000
1776540901.511,1.511,0.51,0.52,0.48,0.49,0.01,0.01,75637.9,1776540900000
1776540901.85,1.85,0.51,0.52,0.48,0.49,0.01,0.01,75637.9,1776540900000
1776540902.19,2.19,0.51,0.52,0.48,0.49,0.01,0.01,75637.9,1776540900000
1776540902.535,2.535,0.52,0.53,0.47,0.48,0.01,0.01,75637.65,1776540901000
1776540902.904,2.904,0.52,0.53,0.47,0.48,0.01,0.01,75637.65,1776540901000
1776540903.317,3.317,0.52,0.53,0.47,0.48,0.01,0.01,75637.61,1776540902000
1776540903.687,3.687,0.52,0.53,0.47,0.48,0.01,0.01,75637.61,1776540902000
1776540904.094,4.094,0.51,0.52,0.47,0.49,0.01,0.02,75637.61,1776540902000
1776540904.547,4.547,0.51,0.53,0.48,0.49,0.02,0.01,75637.61,1776540902000
1776540905.005,5.005,0.51,0.52,0.47,0.48,0.01,0.01,75638.07,1776540903000
1776540905.363,5.363,0.51,0.52,0.48,0.49,0.01,0.01,75638.07,1776540904000
1776540905.825,5.825,0.51,0.52,0.48,0.49,0.01,0.01,75638.07,1776540904000
1776540906.217,6.217,0.51,0.52,0.48,0.49,0.01,0.01,75638.07,1776540904000
1776540906.64,6.64,0.51,0.52,0.48,0.49,0.01,0.01,75638.07,1776540905000
1776540907.35,7.35,0.51,0.52,0.48,0.49,0.01,0.01,75638.07,1776540906000
1776540907.684,7.684,0.51,0.52,0.48,0.49,0.01,0.01,75638.07,1776540906000
1776540908.109,8.109,0.51,0.52,0.48,0.49,0.01,0.01,75638.08,1776540907000
1776540909.038,9.038,0.51,0.52,0.48,0.49,0.01,0.01,75638.08,1776540907000
1776540909.645,9.645,0.51,0.52,0.48,0.49,0.01,0.01,75638.08,1776540907000
1776540910.13,10.13,0.51,0.52,0.48,0.49,0.01,0.01,75638.07,1776540908000
1776540910.518,10.518,0.51,0.52,0.48,0.49,0.01,0.01,75638.07,1776540908000
1776540910.905,10.905,0.52,0.53,0.48,0.49,0.01,0.01,75638.08,1776540909000
1776540911.283,11.283,0.52,0.53,0.47,0.48,0.01,0.01,75638.08,1776540909000
1776540911.739,11.739,0.52,0.53,0.47,0.48,0.01,0.01,75638.08,1776540910000
1776540912.132,12.132,0.52,0.53,0.47,0.48,0.01,0.01,75638.08,1776540911000
1776540912.515,12.515,0.52,0.53,0.47,0.48,0.01,0.01,75638.08,1776540911000
1776540913.432,13.432,0.52,0.53,0.47,0.48,0.01,0.01,75638.08,1776540911000
